link,name,price,rating,description,manual,country
https://goldapple.ru/19000004549-perfume-vanilla-blend,ZIELINSKI & ROZEN Black Vanilla,не указана,4.7,"Я хочу, чтобы парфюм трогал до глубины души, говорил о личности и отражал ее уникальность. Эрез Розен Замысловатая ольфакторная книга, сюжет которой раскрывается новыми гранями на каждом человеке. Необычные сочетания нот и оригинальное построение аккордов подчеркивают индивидуальность и раскрывают суть ярче любых слов. Все ароматы Zielinski&Rozen категории унисекс. Ароматы продукции Zielinski&Rozen изменили свое наименование без изменения состава.",Наносите парфюм по обе стороны плеч или распылите впереди себя и войдите в «облако» аромата.,не указана
https://goldapple.ru/7432100005-eros-flame,VERSACE Eros Flame,9 800₽,4.9,"Аромат для сильного, страстного, уверенного в себе мужчины, в то же время способного на глубокие эмоции. Флакон - огненно-красный, насыщенный и мужественный, олицетворяет всю силу страсти. Холод и жар. Сладость и острота. Свет и тень. Пирамиду аромата Versace Eros Flame можно охарактеризовать как игру контрастов, в которой соединяются самые благородные и изысканные ингредиенты, обогащая и дополняя друг друга.Невероятно жизнерадостные верхние ноты. Свежие, сочные итальянские цитрусовые – лимон, мандарин и горький апельсин согреты нотками черного мадагаскарского перца и окутаны ароматом дикого розмарина. Сквозь лёгкое облако pepperwood, герани и розы мы переносимся в сердце аромата, где драгоценные древесные ноты техасского кедра, экстракта пачули, ветивера с Гаити, горного дубового мха и сандала тонко переплетаются в чувственном танце с бобами тонка и ванилью. Versace Eros Flame - cтойкий, обволакивающий, в то же время невероятно мужественный аромат. Ода страсти и торжество чувственного восторга.",не указана,Италия
https://goldapple.ru/19000136060-the-musc-by-calice-becker,ESSENTIAL PARFUMS PARIS THE MUSC by Calice Becker,6 230₽,4.8,"Свеча ESSENTIAL PARFUMS PARIS из минерального воска помогает создать атмосферу уюта и наполняет помещение изысканным ароматом, объединившим нежность мускуса, свежесть лаванды и ноту имбиря. Натуральный пчелиный воск дарит парфюмерной композиции сливочную сладость, а нежный сандал усиливает теплоту благородных древесных нот. Свеча с хлопковым фитилем рассчитана на 90 часов горения.","При первом использовании свечи зажгите ее на 1–2 часа, чтобы воск равномерно расплавился до краев стекла. Держите свечу вдали от сквозняков. Немного обрезайте фитиль перед каждым использованием. Перед использованием ознакомьтесь с мерами предосторожности.",Франция.
https://goldapple.ru/7430900005-versense,VERSACE Versense,10 152₽,4.8,"Туалетная вода Versace Versense удивительна. В ее аромате сочетаются глубокая чувственность, необъятная свежесть, ярко выраженная сексуальность. Парфюмеры компании Versace позиционируют ее как композицию для энергичных натур, ценящих свободу желаний и чувств. Все компоненты в ней подобраны тщательно, благодаря чему она гармонична и ассоциируется с природой. Верхними нотками этой туалетной воды являются благородный бергамот, искрометный мандарин. В глубине аромата спрятаны нежность жасмина и пряность кардамона. В шлейфе парфюма Versense ощущаются древесные нюансы кедра и сандала, а также легкие нотки мускуса.",не указана,Италия
https://goldapple.ru/19000358440-ellena-ambre-et-tonka,100BON Ellena - Ambre Et Tonka,7 462₽,4.5,"Венец наших всепоглощающих желаний : притча о чувственности, переданная тенсегритией*, в которой кристаллизована глубина звучания Амбры и Бобов тонка.",Нанести на тело или одежду.,не указана
https://goldapple.ru/19000196106-ambra-nera,WALLY 1925 Ambra Nera,7 430₽,1.0,"Превосходный восточный аромат, богато дополненный редкими специями, перенесет вас в мир интригующего и загадочного очарования Востока. Идеально, чтобы подчеркнуть стиль вашего дома.","Окуните все палочки во флакон; для более интенсивного распространения аромата переворачивайте палочки несколько раз в день. Регулировать аромат можно уменьшая или увеличивая число палочек. Палочки играют основную роль в интенсивности ароматизации, чем больше палочек, тем аромат насыщеннее. Для достижения лучших результатов, флакон не стоит никогда выставлять на прямой солнечный свет или ставить рядом с источниками тепла, так как под его воздействием происходит испарение аромата.",не указана
https://goldapple.ru/19000166826-scholar-s-mate,MIND GAMES Scholar's Mate,30 410₽,4.5,"SCHOLAR'S MATE — ода партнерству, которая возникает у тех, кто разделяет общую цель. Аромат сочетает в себе находчивость и редкую, несравненную грацию. Лист кардамона, грейпфрут и пудровый ирис сливаются с гладким, кремовым сандаловым деревом. Ветивер, округлый и элегантный, наполняет жизненной энергией. Тонкие нотки дыма возникают как искра, когда компаньоны, друзья и влюбленные собираются вместе. Исследуйте разум, чувства, силу духа с MIND GAMES и погрузитесь в стратегически идеальные композиции.",Распылите на кожу с расстояния 20-30 см.,не указана
https://goldapple.ru/7300600007-cheap-and-chic-i-love-love,MOSCHINO Cheap and Chic I LOVE LOVE,10 500₽,4.8,"Аромат I LOVE LOVE - аромат любви. I LOVE LOVE - аромат столь же юный, как и чувство, вдохновившее на его создание, как ноты букета, источающего счастье с первого мгновения. Настоящий подарок для влюбленной женщины, энергичной, ироничной и задорной в любви. Аромат: Цветочный, свежий фруктовый. ВЕРХНИЕ НОТЫ: Красная смородина, Грейпфрут, Лимон, Апельсин; СРЕДНИЕ НОТЫ: Камыш, Ландыш, Корица; ШЛЕЙФ: Древесина танака, Кедр, Мускус.",не указана,Италия
https://goldapple.ru/7431400003-bright-crystal-absolu,VERSACE Bright Crystal Absolu,13 500₽,4.8,"Парфюмерная вода Versace Bright Crystal Absolu выпущен модным домом в 2014 году. Относится к категории цветочно-фруктовых запахов. Автор парфюмерной воды Альберто Мориллас создал запоминающуюся ароматический букет из граната, пиона, малины, лотоса, магнолии, амбры и махагони. Яркий гранатовый букет Versace оставляет после себя терпкий запах, заставляет почувствовать себя желанной. Чувственные ноты магнолии помогают набраться сил. Махагони придает аромату благородный оттенок.",не указана,Италия
https://goldapple.ru/26142500001-sugar,FRANCK BOCLET SUGAR,17 850₽,4.9,"Sugar Franck Boclet- словно коричневый сахар, вкусный зефир, ноты подслащенные, но при этом немного кисловатые с фруктовой основой и амбровыми аккордами. Гурманский, притягательный. Верхние ноты: бергамот, зефир, черная смородина, мед, кокос. Ноты сердца: груша, жасмин, персик, ваниль, карамель. Базовые ноты: цветы апельсина, фиалка, малина, белый мускус.",не указана,не указана
https://goldapple.ru/19000356533-hvoa,TONKA PERFUMES MOSCOW Хвоя,18 506₽,0.0,"Tonka Perfumes Moscow рады представить лимитированную серию ароматов Хвоя и Christmas Vibe, посвященную Новому году! Хвоя» – это бодрящие ноты мандарина, сменяющиеся умеренной сладостью малины и смолистостью можжевельника, а также шлейфовые ноты пихты и сосны, которые создают атмосферу леса.","1.Использовать все 8 ротанговых палочек одновременно. 2.Крышку сохранить на случай долговременных отъездов. 3.Оставить палочки на 40-60 минут для впитывания масел, после чего перевернуть все палочки вверх. 4.Все последующие разы диффузию возможно контролировать количеством перевернутых палочек.",не указана
https://goldapple.ru/19000196124-divino-bianco-90-anniversario,WALLY 1925 Divino Bianco - 90° anniversario,23 630₽,0.0,"Украсьте ваш дом теплыми и золотыми красками осени, впустив в него горько-сладкий аромат DIVINO BIANCO. Свежие и фруктовые начальные ноты сменяются цветочным и древесным сердцем с зеленым и мускусным шлейфом.","Окуните все палочки во флакон; для более интенсивного распространения аромата переворачивайте палочки несколько раз в день. Регулировать аромат можно уменьшая или увеличивая число палочек. Палочки играют основную роль в интенсивности ароматизации, чем больше палочек, тем аромат насыщеннее. Для достижения лучших результатов, флакон не стоит никогда выставлять на прямой солнечный свет или ставить рядом с источниками тепла, так как под его воздействием происходит испарение аромата.",не указана
https://goldapple.ru/19000348327-cashmere-kumquat,KORRES CASHMERE KUMQUAT,8 307₽,4.7,"Туалетная вода Cashmere Kumquat - чувственный и теплый аромат, сделает Ваш образ еще более притягательным и обворожительным, подарит Вам еще большую притягательность и обаяние. Композиция: Кашемир - нежный, теплый - это синоним роскоши, который привносит в композицию чувственный баланс. Это глубокий, многогранный, пряный, мускусно-древесный аккорд с цветочным оттенком. Кумкват - ярко-оранжевый цитрусовый фрукт, символ процветания, с горьковато-сладким ароматом, который вызывает положительные чувства и поднимает настроение, бодрит и тонизирует. Его цитрусовый профиль ближе к мандарину с виноградными и земляничными нюансами. Ваниль пробуждает чувства и вызывает мечты о любви. Превосходный ингредиент с отчетливо сладким и соблазнительным ароматом и многолетней репутацией одного из самых мощных природных афродизиаков. Содержит 88% натуральных компонентов. Дерматологически протестировано. Korres – бренд натуральных средств ухода за кожей и парфюмерии, содержащих до 99% компонентов природного происхождения. Все парфюмерные композиции бренда – это яркие и чувственные ароматы, сочетающие в себе сочные природные ноты натуральных компонентов, что обеспечивает высокую стойкость ароматов и дарит яркое настроение и эмоции на долгое время. Дополните свой образ парфюмерными композициями Korres и обретите еще большую притягательность и уверенность в себе!","Распылите на расстоянии примерно 20 см. от кожи, уделив особое внимание таким зонам, как запястья и шея.",не указана
https://goldapple.ru/19000356534-hvoa,TONKA PERFUMES MOSCOW Хвоя,18 506₽,0.0,"Tonka Perfumes Moscow рады представить лимитированную серию ароматов Хвоя и Christmas Vibe, посвященную Новому году! Хвоя» – это бодрящие ноты мандарина, сменяющиеся умеренной сладостью малины и смолистостью можжевельника, а также шлейфовые ноты пихты и сосны, которые создают атмосферу леса.","1.Использовать все 8 ротанговых палочек одновременно. 2.Крышку сохранить на случай долговременных отъездов. 3.Оставить палочки на 40-60 минут для впитывания масел, после чего перевернуть все палочки вверх. 4.Все последующие разы диффузию возможно контролировать количеством перевернутых палочек.",не указана
